Từ ngữ nhạy cảm,Hệ số,Từ ngữ phổ biến,Số lần xuất hiện
đồng_tính,6.048028876042314,bạn,361
người,4.104965031994996,con,339
đen,3.643951026197219,chó,334
da,3.1766489817674026,đụ,305
đồ_khốn,3.0020721538977755,người,23
tao,2.8258375047601327,chết,15
do_thái,2.754419315648742,đồ,14
ngu,2.7093300023687865,đi,13
là người,2.6833659260770806,đồng_tính,13
cậu chết,2.6741011940455395,tôi,11
gã,2.6739386054483756,khốn_nạn,11
hồi_giáo,2.6047400262416334,địt,11
đức_quốc_xã,2.4950726379280153,do_thái,9
anh,2.414356797114634,tiệt,9
lũ,2.352958515817896,những,9
người đồng_tính,2.344198241975005,về,8
đi,2.323753369509266,mày,8
mọi đen,2.2933630674188965,ấy,7
đồ,2.261097792487903,kẻ,7
khốn_nạn,2.187562802731908,thậm_chí,6
ngu ngốc,2.1678298224764094,anh,6
nga,2.1367897784188488,đã,5
ăn,2.0318218442928258,ở,5
bà ấy,1.9600437355178504,ngốc,4
mày,1.950973126679644,chính_xác,4
tôi không_thể,1.8888114045679538,gì,4
phân_biệt chủng_tộc,1.879351246341768,nói,4
chủng_tộc,1.844545511038422,wiki,4
con,1.821046386525032,khốn_kiếp,4
da đen,1.8044031841814399,sách,4
luôn,1.800405748125703,,0
đến,1.797588085557456,,0
những kẻ,1.7841066857182204,,0
bạn lại,1.7588615935145024,,0
không_thể,1.7343873265639838,,0
bạn,1.731885161724346,,0
nhớ,1.7287804738078036,,0
phân_biệt,1.7226905404535953,,0
mặt,1.7109132695729263,,0
nhỏ_bé,1.6817251641845974,,0
kẻ,1.6734642835215756,,0
bọn,1.670982665605548,,0
anh_chàng người,1.6322814252858486,,0
mẹ mày,1.6180355211830226,,0
lại,1.610744131102727,,0
haha,1.5734704167713107,,0
người nga,1.5505204805723307,,0
là bạn,1.5462335584909646,,0
của đức_quốc,1.5433369344909669,,0
khốn_nạn đây,1.5420896098674046,,0
